title,url,release_date,critic_score,audience_score
Red Tails,https://www.rottentomatoes.com/m/red_tails,"Released Jan 20, 2012",40%,57%
Underworld: Awakening,https://www.rottentomatoes.com/m/underworld_awakening,"Released Jan 20, 2012",25%,62%
Coriolanus,https://www.rottentomatoes.com/m/coriolanus,2019,,
The Flowers of War,https://www.rottentomatoes.com/m/the_flowers_of_war,"Released Jan 20, 2012",42%,74%
Fullmetal Alchemist: The Sacred Star of Milos,https://www.rottentomatoes.com/m/fullmetal_alchemist_the_sacred_star_of_milos,"Released Jan 20, 2012",83%,81%
We,https://www.rottentomatoes.com/m/we,2018,,
The Grey,https://www.rottentomatoes.com/m/the_grey,2004,,
Grey,https://www.rottentomatoes.com/m/grey,2016,,
Man on a Ledge,https://www.rottentomatoes.com/m/man_on_a_ledge,"Released Jan 27, 2012",31%,52%
One for the Money,https://www.rottentomatoes.com/m/one_for_the_money,"Released Jan 27, 2012",2%,42%
Declaration of War,https://www.rottentomatoes.com/m/declaration_of_war,"Released Jan 27, 2012",86%,70%
Big Miracle,https://www.rottentomatoes.com/m/big_miracle,"Released Feb 3, 2012",74%,64%
Chronicle,https://www.rottentomatoes.com/m/chronicle,"Released Feb 3, 2012",85%,72%
The Woman in Black,https://www.rottentomatoes.com/m/woman_in_black,1989,100%,78%
Journey 2: The Mysterious Island,https://www.rottentomatoes.com/m/journey_2_the_mysterious_island,"Released Feb 10, 2012",45%,59%
Safe House,https://www.rottentomatoes.com/m/safe_house,2001,,
The Vow,https://www.rottentomatoes.com/m/the_vow,1918,,
Star Wars: Episode I - The Phantom Menace,https://www.rottentomatoes.com/m/star_wars_episode_i_the_phantom_menace_3d,"Released May 19, 1999",52%,59%
Exit Strategy,https://www.rottentomatoes.com/m/exit_strategy,2017,,
Rampart,https://www.rottentomatoes.com/m/rampart,2005,,
The Secret World of Arrietty,https://www.rottentomatoes.com/m/the_secret_world_of_arrietty,"Released Feb 17, 2012",94%,85%
Ghost Rider: Spirit of Vengeance,https://www.rottentomatoes.com/m/ghost_rider_spirit_of_vengeance,"Released Feb 17, 2012",19%,31%
This Means War,https://www.rottentomatoes.com/m/this_means_war,"Released Feb 17, 2012",26%,56%
Act of Valor,https://www.rottentomatoes.com/m/act_of_valor,"Released Feb 24, 2012",28%,72%
Gone,https://www.rottentomatoes.com/m/gone,2002,,
Tyler Perry's Good Deeds,https://www.rottentomatoes.com/m/good_deeds,"Released Feb 24, 2012",36%,76%
Wanderlust,https://www.rottentomatoes.com/m/wanderlust,1998,,
This Is Not a Film,https://www.rottentomatoes.com/m/this_is_not_a_film,2003,,56%
Dr. Seuss' the Lorax,https://www.rottentomatoes.com/m/dr_seuss_the_lorax,"Released Mar 2, 2012",54%,63%
Project X,https://www.rottentomatoes.com/m/project_x,2009,,71%
Being Flynn,https://www.rottentomatoes.com/m/being_flynn,"Released Mar 2, 2012",51%,41%
Tim and Eric's Billion Dollar Movie,https://www.rottentomatoes.com/m/tim_and_erics_billion_dollar_movie,"Released Mar 2, 2012",38%,47%
John Carter,https://www.rottentomatoes.com/m/john_carter,"Released Mar 9, 2012",52%,60%
A Thousand Words,https://www.rottentomatoes.com/m/a_thousand_words,"Released Mar 9, 2012",0%,46%
Attenberg,https://www.rottentomatoes.com/m/attenberg,2010,78%,53%
The Ballad of Genesis and Lady Jaye,https://www.rottentomatoes.com/m/the_ballad_of_genesis_and_lady_jaye,"Released Mar 8, 2012",68%,53%
Footnote,https://www.rottentomatoes.com/m/footnote,"Released Mar 9, 2012",88%,72%
Friends With Kids,https://www.rottentomatoes.com/m/friends_with_kids,"Released Mar 9, 2012",66%,49%
Jiro Dreams of Sushi,https://www.rottentomatoes.com/m/jiro_dreams_of_sushi,"Released Mar 9, 2012",99%,91%
Salmon Fishing in the Yemen,https://www.rottentomatoes.com/m/salmon_fishing_in_the_yemen,"Released Mar 9, 2012",68%,64%
Game Change,https://www.rottentomatoes.com/m/game_change,2012,67%,76%
Gerhard Richter Painting,https://www.rottentomatoes.com/m/gerhard_richter_painting,"Released Mar 14, 2012",89%,73%
21 Jump Street,https://www.rottentomatoes.com/m/21_jump_street,1987,,87%
House of My Father,https://www.rottentomatoes.com/m/casa_de_mi_padre,"Released Mar 23, 2012",42%,35%
"Jeff, Who Lives at Home",https://www.rottentomatoes.com/m/jeff_who_lives_at_home,"Released Mar 16, 2012",77%,62%
The Hunger Games,https://www.rottentomatoes.com/m/the_hunger_games,"Released Mar 23, 2012",84%,81%
The Hunger Games,https://www.rottentomatoes.com/m/hunger_games,"Released Mar 23, 2012",84%,81%
The Raid: Redemption,https://www.rottentomatoes.com/m/the_raid_redemption,"Released Apr 13, 2012",87%,87%
A Royal Affair,https://www.rottentomatoes.com/m/a_royal_affair,"Released Nov 9, 2012",90%,82%
"Mirror, Mirror",https://www.rottentomatoes.com/m/mirror_mirror,1990,80%,31%
Wrath of the Titans,https://www.rottentomatoes.com/m/wrath_of_the_titans,2010,,50%
Goon,https://www.rottentomatoes.com/m/goon,"Released Mar 30, 2012",81%,71%
Titanic,https://www.rottentomatoes.com/m/titanic_3d,"Released Dec 19, 1997",88%,69%
American Reunion,https://www.rottentomatoes.com/m/american_reunion,2004,80%,
Damsels in Distress,https://www.rottentomatoes.com/m/damsels_in_distress,"Released Apr 6, 2012",76%,39%
Keyhole,https://www.rottentomatoes.com/m/keyhole,"Released Apr 6, 2012",70%,39%
Surviving Progress,https://www.rottentomatoes.com/m/surviving_progress,"Released Apr 6, 2011",71%,79%
We Have a Pope,https://www.rottentomatoes.com/m/we_have_a_pope,"Released Apr 6, 2012",66%,55%
The Cabin in the Woods,https://www.rottentomatoes.com/m/the_cabin_in_the_woods,"Released Apr 13, 2012",92%,74%
Detention,https://www.rottentomatoes.com/m/detention,2019,,
Lockout,https://www.rottentomatoes.com/m/lockout,2006,,25%
The Three Stooges,https://www.rottentomatoes.com/m/three_stooges,"Released Apr 13, 2012",51%,47%
Monsieur Lazhar,https://www.rottentomatoes.com/m/monsieur_lazhar,"Released Apr 13, 2012",98%,86%
The Lucky One,https://www.rottentomatoes.com/m/the_lucky_one,"Released Apr 20, 2012",20%,67%
Think Like a Man,https://www.rottentomatoes.com/m/think_like_a_man,"Released Apr 20, 2012",54%,79%
Darling Companion,https://www.rottentomatoes.com/m/darling_companion,"Released Apr 20, 2012",21%,29%
Fightville,https://www.rottentomatoes.com/m/fightville,"Released Apr 20, 2012",61%,67%
Jesus Henry Christ,https://www.rottentomatoes.com/m/jesus_henry_christ,"Released Apr 20, 2012",22%,47%
Marley,https://www.rottentomatoes.com/m/marley,"Released Apr 20, 2012",96%,90%
Payback,https://www.rottentomatoes.com/m/payback,2019,,
The Pirates! Band of Misfits,https://www.rottentomatoes.com/m/the_pirates_in_an_adventure_with_scientists,"Released Apr 27, 2012",86%,60%
The Raven,https://www.rottentomatoes.com/m/the_raven,2007,,41%
Raven,https://www.rottentomatoes.com/m/raven,2009,24%,
Safe,https://www.rottentomatoes.com/m/safe,"Released Jun 23, 1995",87%,75%
Headhunters,https://www.rottentomatoes.com/m/headhunters,"Released Apr 27, 2012",93%,85%
Sound of My Voice,https://www.rottentomatoes.com/m/sound_of_my_voice,"Released Apr 27, 2012",76%,66%
Marvel's the Avengers,https://www.rottentomatoes.com/m/avengers,"Released May 4, 2012",91%,91%
The Best Exotic Marigold Hotel,https://www.rottentomatoes.com/m/the_best_exotic_marigold_hotel,"Released May 18, 2012",78%,78%
Dark Shadows,https://www.rottentomatoes.com/m/dark_shadows,"Released May 11, 2012",35%,46%
Where Do We Go Now?,https://www.rottentomatoes.com/m/where_do_we_go_now,"Released May 11, 2012",53%,73%
The Dictator,https://www.rottentomatoes.com/m/the_dictator,"Released Jun 22, 1922",,
The Dictator,https://www.rottentomatoes.com/m/dictator,"Released May 16, 2012",56%,44%
Rust and Bone,https://www.rottentomatoes.com/m/rust_and_bone,"Released Nov 23, 2012",82%,80%
Battleship,https://www.rottentomatoes.com/m/battleship,"Released May 18, 2012",34%,54%
What to Expect When You're Expecting,https://www.rottentomatoes.com/m/what_to_expect_when_youre_expecting,"Released May 18, 2012",23%,47%
Beyond the Black Rainbow,https://www.rottentomatoes.com/m/beyond_the_black_rainbow,"Released May 18, 2012",61%,53%
Crooked Arrows,https://www.rottentomatoes.com/m/crooked_arrows,"Released Jun 1, 2012",41%,62%
The Entrance,https://www.rottentomatoes.com/m/entrance,2006,,6%
Fury,https://www.rottentomatoes.com/m/fury,2009,,
Hysteria,https://www.rottentomatoes.com/m/hysteria,"Released Apr 1, 1965",,44%
Lovely Molly,https://www.rottentomatoes.com/m/lovely_molly,"Released May 18, 2012",47%,32%
Mansome,https://www.rottentomatoes.com/m/mansome,"Released May 18, 2012",25%,23%
Polisse,https://www.rottentomatoes.com/m/polisse,"Released May 18, 2012",86%,79%
Virginia,https://www.rottentomatoes.com/m/virginia,1989,,
Chernobyl Diaries,https://www.rottentomatoes.com/m/chernobyl_diaries,"Released May 25, 2012",17%,28%
Moonrise Kingdom,https://www.rottentomatoes.com/m/moonrise_kingdom,"Released Jun 29, 2012",93%,86%
Hemingway & Gellhorn,https://www.rottentomatoes.com/m/hemingway_and_gellhorn,2012,49%,41%
5 Broken Cameras,https://www.rottentomatoes.com/m/5_broken_cameras,"Released May 3, 2012",96%,88%
Snow White and the Huntsman,https://www.rottentomatoes.com/m/snow_white_and_the_huntsman,"Released Jun 1, 2012",49%,52%
Piranha 3DD,https://www.rottentomatoes.com/m/piranha_3dd,"Released Jun 1, 2012",11%,22%
Madagascar 3: Europe's Most Wanted,https://www.rottentomatoes.com/m/madagascar_3_europes_most_wanted,"Released Jun 8, 2012",78%,72%
Prometheus,https://www.rottentomatoes.com/m/prometheus,1998,,
Lola Versus,https://www.rottentomatoes.com/m/lola_versus,"Released Jun 8, 2012",36%,31%
Safety Not Guaranteed,https://www.rottentomatoes.com/m/safety_not_guaranteed,"Released Jun 8, 2012",91%,80%
Rock of Ages,https://www.rottentomatoes.com/m/rock_of_ages,1918,,
That's My Boy,https://www.rottentomatoes.com/m/thats_my_boy,"Released Nov 13, 1932",,
The Woman in the Fifth,https://www.rottentomatoes.com/m/the_woman_in_the_fifth,"Released Jun 15, 2012",59%,22%
Your Sister's Sister,https://www.rottentomatoes.com/m/your_sisters_sister,"Released Jun 15, 2012",84%,66%
Abraham Lincoln: Vampire Hunter,https://www.rottentomatoes.com/m/abraham_lincoln_vampire_hunter,"Released Jun 22, 2012",34%,50%
Brave,https://www.rottentomatoes.com/m/brave,"Released Jun 22, 2012",79%,75%
Seeking a Friend for the End of the World,https://www.rottentomatoes.com/m/seeking_a_friend_for_the_end_of_the_world,"Released Jun 22, 2012",55%,53%
The Invisible War,https://www.rottentomatoes.com/m/the_invisible_war,"Released Jun 22, 2012",99%,84%
To Rome With Love,https://www.rottentomatoes.com/m/to_rome_with_love,"Released Jul 6, 2012",47%,40%
Beasts of the Southern Wild,https://www.rottentomatoes.com/m/beasts_of_the_southern_wild,"Released Jun 27, 2012",87%,76%
Tyler Perry's Madea's Witness Protection,https://www.rottentomatoes.com/m/madeas_witness_protection,"Released Jun 29, 2012",19%,66%
Magic Mike,https://www.rottentomatoes.com/m/magic_mike,"Released Jun 29, 2012",78%,60%
Ted,https://www.rottentomatoes.com/m/ted,1999,,
A Burning Hot Summer,https://www.rottentomatoes.com/m/a_burning_hot_summer,2011,55%,24%
The Last Ride,https://www.rottentomatoes.com/m/last_ride,2004,,59%
Neil Young Journeys,https://www.rottentomatoes.com/m/neil_young_journeys,"Released Jun 29, 2012",89%,60%
Take This Waltz,https://www.rottentomatoes.com/m/take_this_waltz,"Released Jun 29, 2012",79%,58%
Unforgivable,https://www.rottentomatoes.com/m/unforgivable,1996,,69%
The Savages,https://www.rottentomatoes.com/m/savages,"Released Nov 28, 2007",90%,75%
Collaborator,https://www.rottentomatoes.com/m/collaborator,"Released Jul 6, 2012",73%,61%
Ice Age: Continental Drift,https://www.rottentomatoes.com/m/ice_age_continental_drift,"Released Jul 13, 2012",37%,61%
"Farewell, My Queen",https://www.rottentomatoes.com/m/farewell_my_queen,2012,93%,56%
The Imposter,https://www.rottentomatoes.com/m/imposter,1984,,
Union Square,https://www.rottentomatoes.com/m/union_square,"Released Jul 13, 2012",64%,35%
Shut Up and Play the Hits,https://www.rottentomatoes.com/m/shut_up_and_play_the_hits,2012,86%,84%
The Dark Knight Rises,https://www.rottentomatoes.com/m/the_dark_knight_rises,"Released Jul 20, 2012",87%,90%
The Queen of Versailles,https://www.rottentomatoes.com/m/the_queen_of_versailles,"Released Jul 20, 2012",95%,73%
Iron Sky,https://www.rottentomatoes.com/m/iron_sky,2012,41%,37%
Ruby Sparks,https://www.rottentomatoes.com/m/ruby_sparks,"Released Jul 25, 2012",79%,75%
Step Up Revolution,https://www.rottentomatoes.com/m/step_up_revolution,"Released Jul 27, 2012",41%,68%
Watch,https://www.rottentomatoes.com/m/watch,1999,,
Ai Weiwei: Never Sorry,https://www.rottentomatoes.com/m/ai_weiwei_never_sorry,"Released Jul 27, 2012",98%,87%
Killer Joe,https://www.rottentomatoes.com/m/killer_joe,2011,80%,61%
Searching for Sugar Man,https://www.rottentomatoes.com/m/searching_for_sugar_man,"Released Jul 27, 2012",95%,92%
Diary of a Wimpy Kid: Dog Days,https://www.rottentomatoes.com/m/diary_of_a_wimpy_kid_dog_days,"Released Aug 3, 2012",52%,63%
Total Recall,https://www.rottentomatoes.com/m/total_recall,"Released Jun 1, 1990",82%,79%
360,https://www.rottentomatoes.com/m/360,2023,,
Celeste and Jesse Forever,https://www.rottentomatoes.com/m/celeste_and_jesse_forever,"Released Aug 3, 2012",70%,62%
Hope Springs,https://www.rottentomatoes.com/m/hope_springs,"Released Sep 5, 2003",25%,27%
The Bourne Legacy,https://www.rottentomatoes.com/m/the_bourne_legacy,"Released Aug 10, 2012",56%,58%
The Campaign,https://www.rottentomatoes.com/m/the_campaign,"Released Aug 10, 2012",66%,51%
2 Days in New York,https://www.rottentomatoes.com/m/2_days_in_new_york,"Released Aug 10, 2012",67%,42%
The Odd Life of Timothy Green,https://www.rottentomatoes.com/m/the_odd_life_of_timothy_green,"Released Aug 15, 2012",36%,67%
Ek Tha Tiger,https://www.rottentomatoes.com/m/ek_tha_tiger,"Released Aug 15, 2012",75%,49%
The Expendables 2,https://www.rottentomatoes.com/m/the_expendables_2,"Released Aug 17, 2012",67%,67%
ParaNorman,https://www.rottentomatoes.com/m/paranorman,"Released Aug 17, 2012",89%,72%
Sparkle,https://www.rottentomatoes.com/m/sparkle,2007,78%,
Compliance,https://www.rottentomatoes.com/m/compliance,"Released Aug 17, 2012",89%,60%
Cosmopolis,https://www.rottentomatoes.com/m/cosmopolis,"Released Aug 17, 2012",67%,31%
Robot & Frank,https://www.rottentomatoes.com/m/robot_and_frank,"Released Aug 24, 2012",86%,75%
Community Service the Movie,https://www.rottentomatoes.com/m/community_service_the_movie,"Released Jul 21, 2012",,
Hit and Run,https://www.rottentomatoes.com/m/hit_and_run,2009,,16%
The Apparition,https://www.rottentomatoes.com/m/the_apparition,"Released Aug 24, 2012",3%,24%
Apparition,https://www.rottentomatoes.com/m/apparition,2014,,20%
Premium Rush,https://www.rottentomatoes.com/m/premium_rush,"Released Aug 24, 2011",75%,60%
Lawless,https://www.rottentomatoes.com/m/lawless,1999,,
The Oogieloves in the Big Balloon Adventure,https://www.rottentomatoes.com/m/the_oogieloves_in_the_big_balloon_adventure,"Released Aug 29, 2012",32%,62%
The Ambassador,https://www.rottentomatoes.com/m/the_ambassador,"Released Aug 29, 2012",71%,75%
Ambassador,https://www.rottentomatoes.com/m/ambassador,1984,,
The Possession,https://www.rottentomatoes.com/m/the_possession,"Released Aug 31, 2012",39%,48%
Possession,https://www.rottentomatoes.com/m/possession,"Released Aug 16, 2002",63%,58%
"For a Good Time, Call ...",https://www.rottentomatoes.com/m/for_a_good_time_call,"Released Sep 7, 2012",57%,53%
The Cold Light of Day,https://www.rottentomatoes.com/m/the_cold_light_of_day,"Released Sep 7, 2012",4%,29%
Cold Light of Day,https://www.rottentomatoes.com/m/cold_light_of_day,1994,,24%
The Words,https://www.rottentomatoes.com/m/the_words,"Released Sep 7, 2012",24%,49%
Words,https://www.rottentomatoes.com/m/words,2016,,
Anna Karenina,https://www.rottentomatoes.com/m/anna_karenina,1967,,70%
Detropia,https://www.rottentomatoes.com/m/detropia,"Released Sep 5, 2012",86%,64%
Resident Evil: Retribution,https://www.rottentomatoes.com/m/resident_evil_retribution,"Released Sep 14, 2012",28%,51%
Finding Nemo,https://www.rottentomatoes.com/m/finding_nemo_3d,"Released May 30, 2003",99%,86%
Arbitrage,https://www.rottentomatoes.com/m/arbitrage,"Released Sep 14, 2012",87%,62%
Barfi!,https://www.rottentomatoes.com/m/barfi,"Released Sep 14, 2012",80%,86%
The Master,https://www.rottentomatoes.com/m/the_master,2019,,
Master,https://www.rottentomatoes.com/m/master,"Released Oct 23, 2018",,64%
Stolen,https://www.rottentomatoes.com/m/stolen,2005,67%,47%
Dredd,https://www.rottentomatoes.com/m/dredd,"Released Sep 21, 2012",80%,72%
End of Watch,https://www.rottentomatoes.com/m/end_of_watch,"Released Sep 21, 2012",85%,86%
House at the End of the Street,https://www.rottentomatoes.com/m/house_at_the_end_of_the_street,"Released Sep 21, 2012",12%,41%
Trouble With the Curve,https://www.rottentomatoes.com/m/trouble_with_the_curve,"Released Sep 21, 2012",51%,66%
Diana Vreeland: The Eye Has to Travel,https://www.rottentomatoes.com/m/diana_vreeland_the_eye_has_to_travel,"Released Sep 21, 2012",95%,79%
Head Games,https://www.rottentomatoes.com/m/head_games,"Released Sep 21, 2012",88%,77%
The Perks of Being a Wallflower,https://www.rottentomatoes.com/m/the_perks_of_being_a_wallflower,"Released Oct 12, 2012",85%,89%
The Perks of Being a Wallflower,https://www.rottentomatoes.com/m/perks_of_being_a_wallflower,"Released Oct 12, 2012",85%,89%
Hotel Transylvania,https://www.rottentomatoes.com/m/hotel_transylvania,"Released Sep 28, 2012",44%,72%
Looper,https://www.rottentomatoes.com/m/looper,"Released Sep 28, 2012",93%,82%
Won't Back Down,https://www.rottentomatoes.com/m/wont_back_down,"Released Sep 28, 2012",35%,61%
The Waiting Room,https://www.rottentomatoes.com/m/the_waiting_room,2007,60%,56%
Waiting Room,https://www.rottentomatoes.com/m/waiting_room,2016,,
Pitch Perfect,https://www.rottentomatoes.com/m/pitch_perfect,"Released Oct 5, 2012",82%,83%
Taken 2,https://www.rottentomatoes.com/m/taken_2,"Released Oct 5, 2012",22%,52%
It's Such a Beautiful Day,https://www.rottentomatoes.com/m/its_such_a_beautiful_day,"Released Aug 24, 2012",100%,92%
The Oranges,https://www.rottentomatoes.com/m/the_oranges,"Released Oct 5, 2012",31%,32%
The Paperboy,https://www.rottentomatoes.com/m/paperboy,1994,,33%
Here Comes the Boom,https://www.rottentomatoes.com/m/here_comes_the_boom,"Released Oct 12, 2012",42%,65%
